"TimeCreated","Id","LevelDisplayName","ProviderName","Message"
"06/01/2026 08:17:17","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"06/01/2026 08:14:50","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-13T08:14:50Z. Motivo: RulesEngine."
"06/01/2026 08:14:20","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"06/01/2026 08:13:57","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-13T08:13:57Z. Motivo: RulesEngine."
"06/01/2026 08:13:17","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"06/01/2026 08:12:21","0",,"Dolby DAX3",
"06/01/2026 08:10:18","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-13T08:10:18Z. Motivo: RulesEngine."
"06/01/2026 08:09:48","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"06/01/2026 08:09:10","256","Informações","Brave-Browser","[5456:20676:0106/080910.243:INFO:chrome\browser\extensions\extension_garbage_collector.cc:188] Garbage collection for extensions on file thread is complete."
"06/01/2026 08:07:46","0","Informações","edgeupdate","Service stopped."
"06/01/2026 08:07:22","0",,"brave",
"06/01/2026 08:07:20","0",,"Dolby DAX3",
"06/01/2026 08:07:20","0",,"Dolby DAX3",
"06/01/2026 08:07:19","6000","Informações","Microsoft-Windows-Winlogon","O subscritor de notificação de início de sessão <SessionEnv> não estava disponível para processar um evento de notificação."
"06/01/2026 08:07:19","0",,"Dolby DAX3",
"06/01/2026 08:07:19","0",,"Dolby DAX3",
"06/01/2026 08:07:19","0",,"Dolby DAX3",
"06/01/2026 08:07:19","0",,"Dolby DAX3",
"06/01/2026 08:07:18","6003","Informações","Microsoft-Windows-Winlogon","O subscritor de notificação de início de sessão <SessionEnv> não estava disponível para processar um evento de notificação crítico."
"06/01/2026 08:07:16","4096",,"VBScriptDeprecationAlert",
"05/01/2026 23:14:22","6000","Informações","Microsoft-Windows-Winlogon","O subscritor de notificação de início de sessão <SessionEnv> não estava disponível para processar um evento de notificação."
"05/01/2026 23:14:22","6000","Informações","Microsoft-Windows-Winlogon","O subscritor de notificação de início de sessão <WSearch> não estava disponível para processar um evento de notificação."
"05/01/2026 23:12:31","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T23:12:31Z. Motivo: RulesEngine."
"05/01/2026 23:12:01","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 23:01:50","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T23:01:50Z. Motivo: RulesEngine."
"05/01/2026 23:01:20","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 22:48:30","64","Aviso","Microsoft-Windows-CertificateServicesClient-AutoEnrollment","O certificado de Sistema local com o Thumbprint 90 90 c2 0f 03 5e bd 1a ce 64 67 4b ad f2 dd d6 55 6d cf a9 está prestes a expirar ou já expirou."
"05/01/2026 22:40:55","4096",,"VBScriptDeprecationAlert",
"05/01/2026 22:31:10","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T22:31:10Z. Motivo: RulesEngine."
"05/01/2026 22:30:40","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 22:05:21","4096",,"VBScriptDeprecationAlert",
"05/01/2026 21:37:34","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T21:37:34Z. Motivo: RulesEngine."
"05/01/2026 21:37:04","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 21:33:29","4096",,"VBScriptDeprecationAlert",
"05/01/2026 21:31:04","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T21:31:04Z. Motivo: RulesEngine."
"05/01/2026 21:30:34","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 21:07:10","8224","Informações","VSS","O serviço VSS está a ser encerrado devido a tempo de inatividade excedido. "
"05/01/2026 21:05:39","4096",,"VBScriptDeprecationAlert",
"05/01/2026 21:04:10","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:10","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:10","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:10","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:10","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:10","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:10","8216","Informações","System Restore","A ignorar criação de ponto de restauro (Processo = C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wuauserv; Descrição = Windows Update), pois está disponível um ponto de restauro suficientemente recente para Restauro do Sistema."
"05/01/2026 21:04:06","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:06","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:06","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:06","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:06","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:06","2562",,"Microsoft-Windows-AppXDeploymentServer/Operational",
"05/01/2026 21:04:06","8216","Informações","System Restore","A ignorar criação de ponto de restauro (Processo = C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wuauserv; Descrição = Windows Update), pois está disponível um ponto de restauro suficientemente recente para Restauro do Sistema."
"05/01/2026 21:04:06","8216","Informações","System Restore","A ignorar criação de ponto de restauro (Processo = C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wuauserv; Descrição = Windows Update), pois está disponível um ponto de restauro suficientemente recente para Restauro do Sistema."
"05/01/2026 21:04:04","8216","Informações","System Restore","A ignorar criação de ponto de restauro (Processo = C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wuauserv; Descrição = Windows Update), pois está disponível um ponto de restauro suficientemente recente para Restauro do Sistema."
"05/01/2026 21:04:00","8216","Informações","System Restore","A ignorar criação de ponto de restauro (Processo = C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wuauserv; Descrição = Windows Update), pois está disponível um ponto de restauro suficientemente recente para Restauro do Sistema."
